Date,Open,High,Low,Close,Volume
1914-03-01,22.95,22.95,22.95,22.95,0
1914-06-01,22.95,22.95,22.95,22.95,0
1914-09-01,22.95,22.95,21.12,21.12,0
1914-12-01,21.12,21.12,21.12,21.12,0
1915-03-01,21.12,22.08,21.12,22.08,0
1915-06-01,22.08,22.08,22.08,22.08,0
1915-09-01,22.08,32.1,22.08,32.1,0
1915-12-01,32.1,32.1,32.1,32.1,0
1916-03-01,32.1,33.26,32.1,33.26,0
1916-06-01,33.26,33.26,32.72,32.72,0
1916-09-01,32.72,49.01,32.72,49.01,0
1916-12-01,49.01,49.01,41.61,41.61,0
1917-03-01,41.61,41.61,41.25,41.25,0
1917-06-01,41.25,41.25,40.2,40.2,0
1917-09-01,40.2,51.93,40.2,51.93,0
1917-12-01,51.93,51.93,41.4,41.4,0
1918-03-01,41.4,43.75,41.4,43.75,0
1918-06-01,43.75,44.1,43.75,44.1,0
1918-09-01,44.1,44.1,40.84,40.84,0
1918-12-01,40.84,42.21,40.84,42.21,0
1919-03-01,42.21,42.21,40.9,40.9,0
1919-06-01,40.9,40.9,39.89,39.89,0
1919-09-01,39.89,56.09,39.89,56.09,0
1919-12-01,56.09,56.09,53.63,53.63,0
1920-03-01,53.63,57.58,53.63,57.58,0
1920-06-01,57.58,57.58,57.58,57.58,0
1920-09-01,57.58,57.58,25.96,25.96,0
1920-12-01,25.96,27.44,25.96,27.44,0
1921-03-01,27.44,28.98,27.44,28.98,0
1921-06-01,28.98,31.77,28.98,31.77,0
1921-09-01,31.77,31.77,28.88,28.88,0
1921-12-01,28.88,28.88,28.88,28.88,0
1922-03-01,28.88,30.3,28.88,30.3,0
1922-06-01,30.3,30.3,30.3,30.3,0
1922-09-01,30.3,30.3,23.22,23.22,0
1922-12-01,23.22,23.97,23.22,23.97,0
1923-03-01,23.97,25.96,23.97,25.96,0
1923-06-01,25.96,27.36,25.96,27.36,0
1923-09-01,27.36,27.36,22.83,22.83,0
1923-12-01,22.83,22.83,22.83,22.83,0
1924-03-01,22.83,24.08,22.83,24.08,0
1924-06-01,24.08,24.08,21.22,21.22,0
1924-09-01,21.22,24.45,21.22,24.45,0
